Publisher (costs in MEUR),2010,2011,2012,2013,2014,2015,2016,2017,Total,%
Bloomsbury Publishing,0,0,0,0,0,0.01,0,0,0.02,0.01
Henry Stuarts Talks,0,0,0,0,0,0,0,0.01,0.02,0.01
R.R. Bowker,0.01,0.01,0,0,0,0,0,0,0.02,0.01
ProQuest/LM Tietopalvelut,0,0,0,0.01,0.01,0.01,0,0,0.02,0.01
University of Chicago Press,0,0,0,0,0,0,0,0.01,0.02,0.01
Kandidaattikustannus,0,0,0,0,0,0,0.01,0.01,0.02,0.01
SkillSoft,0,0,0,0,0,0,0.01,0.01,0.02,0.01
Edward Elgar,0,0,0,0,0,0,0.01,0.01,0.02,0.01
ETLA,0,0,0,0,0,0,0,0,0.02,0.01
Kompass,0,0,0,0,0,0,0,0,0.02,0.01
Know China Technology,0,0,0,0,0,0,0,0,0.02,0.01
Tutkimus- ja Analysointikeskus TAK,0,0,0,0,0.01,0,0,0,0.02,0.01
Knowledge Unlatched,0,0,0,0,0,0,0.01,0.01,0.02,0.01
RIPM Publications,0,0,0,0,0.01,0,0,0,0.02,0.01
Suomen asiakastieto Oy,0,0,0,0,0,0,0,0,0.01,0.01
American Society of Agronomy,0,0,0,0,0,0,0.01,0.01,0.01,0.01
Metsätalouden kehittämiskeskus Tapio,0,0,0,0,0,0,0,0,0.01,0.01
RedFox Languages,0,0,0,0,0,0,0.01,0,0.01,0.01
Pharmaceutical Press,0,0,0,0,0,0.01,0,0,0.01,0.01
eMarketer,0,0,0,0,0,0,0,0.01,0.01,0.01
Prio Infocenter AB,0,0,0,0,0,0,0.01,0.01,0.01,0.01
Paperi ja Puu Oy,0,0,0,0,0,0,0,0,0.01,0.01
Online Computer Library Center (OCLC),0,0,0,0,0,0,0,0,0.01,0.01
American Society for Microbiology,0,0,0,0,0,0,0,0.01,0.01,0.01
Karger,0,0,0,0,0,0,0,0.01,0.01,0.01
RedFox,0,0,0,0,0,0,0,0.01,0.01,0.01
Benjamins,0,0,0,0,0,0,0,0,0.01,0.01
Centre for Agriculture and Biosciences International (CABI),0,0,0,0,0,0,0,0,0.01,0.01
